country,horizon,mse,rmse,MAE,mape,mdape,smape,coverage
ASEAN-5,1077 days 01:33:54.782608688,23.962233894736436,4.3629620907963105,3.0534873868879444,0.5050711757732378,0.30387967655261827,0.5698176889695098,0.7101449275362319
Advanced economies,1077 days 01:33:54.782608688,5.2509212908302905,2.2009456507282317,1.5633740346818992,0.8284895113414436,0.37606837851382185,0.5135944007723435,0.6438923395445135
Afghanistan,1077 days 01:33:54.782608688,22.921298882826097,4.612654167869436,3.5389389983566564,1.166036501671444,0.4545413598686643,0.5958406478392821,0.42028985507246375
Africa (Region),1077 days 01:33:54.782608688,7.9856407999943135,2.712951678362966,2.309659102649118,2.211578615692317,0.4914844821994175,0.6645742402208014,0.4927536231884058
Albania,1077 days 01:33:54.782608688,71.99143662320296,8.108371636429544,6.244776328643005,1.3247962062280798,1.1164327118449966,1.125819536873196,0.6418219461697723
Algeria,1077 days 01:33:54.782608688,37.31069255429444,5.679154173836078,3.92645548311098,3.5051687605893638,0.9500177580526163,1.0225145744672446,0.6790890269151139
Andorra,1077 days 01:33:54.782608688,22.982352737495756,4.615776588678258,3.4620195908143203,,0.7596664135147744,0.9849982570421247,0.45548654244306414
Angola,1077 days 01:33:54.782608688,57.48530638905379,7.384619876854567,6.4911077218179285,,1.4692395061488455,0.981062380917826,0.2960662525879917
Antigua and Barbuda,1077 days 01:33:54.782608688,50.54238356617489,6.867766637122415,5.6416906047602815,,0.8986052709571647,1.2787661126555585,0.5445134575569358
Argentina,1077 days 01:33:54.782608688,56.487780334139444,7.387416170814616,6.28748854854478,2.0083583290214557,1.1111572011143898,1.2840258115913217,0.4886128364389234
Armenia,1077 days 01:33:54.782608688,128.08264966337356,11.105050457809341,7.993430975408125,2.6574024662169116,1.00688065792507,0.9704721125686375,0.5445134575569358
Aruba,1077 days 01:33:54.782608688,90.79580692484231,9.298373966074406,7.489863802179228,,1.2615391838280476,1.297023499562739,0.6687370600414078
Asia and Pacific,1077 days 01:33:54.782608688,4.74463893046667,2.0278841599380004,1.5931632367782442,0.5734033778707773,0.21799264555980524,0.2982083355330375,0.5196687370600414
Australia,1077 days 01:33:54.782608688,11.396471503558075,3.045312342300953,2.026116057442172,0.7545024999042204,0.3653221490137494,0.5308352728748991,0.8219461697722568
Australia and New Zealand,1077 days 01:33:54.782608688,9.585792362698438,2.8324523381241122,1.9025679128621609,0.7491953396509381,0.33213608086389024,0.5309431142442594,0.7929606625258799
Austria,1077 days 01:33:54.782608688,5.901289057822947,2.260184286678195,1.6495780235628386,,0.6034604185087503,0.6545139412197598,0.6273291925465838
Azerbaijan,1077 days 01:33:54.782608688,311.22689482313694,17.365286213582472,13.400767487034718,5.0566568800196,1.6452352934923875,1.1491819077130379,0.39544513457556935
Bahrain,1077 days 01:33:54.782608688,17.699836431492933,3.9740282509923577,3.153755502728152,1.2362624943099962,0.6328832339845225,0.8031486233759862,0.577639751552795
