,Country,MAE,RMSE,MAPE
0,Afghanistan,2.37,2.72,47.07663898687872
1,Albania,1.21,1.42,37.431222761735114
2,Algeria,0.79,1.03,35.36272545713924
3,Andorra,3.36,3.5,230.84978545372832
4,Angola,2.36,2.46,59.46050901013912
5,Antigua and Barbuda,4.1,4.36,106.64943770928186
6,Argentina,1.27,1.89,360.83605713099956
7,Armenia,4.86,5.14,103.27118049020282
8,Aruba,1.28,1.59,110.7180813477004
9,Australia,0.57,0.67,29.828903680761854
10,Austria,0.78,0.91,97.09689129671322
11,Azerbaijan,1.24,1.37,48.06533202062282
12,The Bahamas,2.48,2.98,129.06674416627564
13,Bahrain,1.07,1.17,35.19825281439664
14,Bangladesh,0.47,0.73,7.848872563566854
15,Barbados,3.14,3.35,105.74581094611008
16,Belarus,5.72,5.74,752.2652189159352
17,Belgium,0.38,0.5,41.85944093280622
18,Belize,5.09,6.36,239.00578970466307
19,Benin,0.56,0.67,9.330963496622719
20,Bhutan,3.19,3.75,63.94337849941396
21,Bolivia,0.42,0.54,20.22470430370568
22,Bosnia and Herzegovina,2.69,2.84,99.89370057229775
23,Botswana,3.43,3.63,85.02874699160307
24,Brazil,0.34,0.56,18.580372418174793
25,Brunei Darussalam,2.79,2.91,91.35473988950609
26,Bulgaria,0.84,1.04,40.92212434207597
27,Burkina Faso,0.85,0.94,16.04700786889203
28,Burundi,4.25,4.46,78.38721922916146
29,Cabo Verde,1.66,2.2,33.27236536488798
30,Cambodia,0.56,0.63,9.10538028280192
31,Cameroon,2.1,2.21,46.064713472112054
32,Canada,0.15,0.19,9.069771300675367
33,Central African Republic,3.55,3.73,102.07808837343251
34,Chad,0.81,0.96,22.671796876911035
35,Chile,1.91,2.29,126.24886234047408
36,China,0.46,0.55,11.896434337476652
37,Colombia,1.06,1.29,66.16701664537766
38,Comoros,1.91,2.08,48.66224605564306
39,Dem. Rep. of the Congo,0.8,1.06,12.16838260871467
40,Republic of Congo,5.37,5.7,133.13592904037105
41,Costa Rica,0.93,1.03,29.058807878905274
42,Croatia,2.6,2.69,109.66359978719085
43,Cyprus,1.43,1.59,48.947737397648375
44,Czech Republic,1.05,1.58,130.2653205125792
45,Côte d'Ivoire,0.63,0.73,10.095373654538957
46,Denmark,0.59,0.74,inf
47,Djibouti,1.28,1.5,24.036010356534923
48,Dominica,5.02,5.18,139.09493086234824
49,Dominican Republic,0.72,0.87,15.409970762766982
50,Ecuador,0.92,1.54,32.42337444074712
51,Egypt,0.99,1.3,21.883754594567932
52,El Salvador,0.76,0.9,36.395589537303444
53,Equatorial Guinea,9.96,10.74,748.2495491744038
54,Eritrea,3.17,3.37,109.76018962641452
55,Estonia,1.12,2.14,79.53263849918063
56,Eswatini,1.04,1.22,41.49635084996162
57,Ethiopia,5.11,5.14,77.84603972592883
58,Fiji,3.85,4.36,79.97655638617628
59,Finland,0.67,0.71,inf
60,France,0.83,0.91,60.189743684958096
61,Gabon,1.09,1.2,33.48666748602275
62,The Gambia,2.17,2.47,38.67932697903606
63,Georgia,4.54,5.08,94.90316291468712
64,Germany,0.79,1.02,285.3274280067227
65,Ghana,1.23,1.51,47.7634688813654
66,Greece,2.19,2.85,154.8333275603947
67,Grenada,2.81,3.17,82.89441695637292
68,Guatemala,1.67,1.78,45.89391707681551
69,Guinea,0.48,0.69,9.16012206274713
70,Guinea-Bissau,1.31,1.61,26.93138153955369
71,Guyana,74.2,83.57,1676.3866486311774
72,Haiti,1.14,1.59,196.90786823662816
73,Honduras,0.27,0.48,7.337309065946912
74,Hong Kong SAR,2.73,2.77,93.42801683752658
75,Hungary,1.09,1.46,117.21278770971564
76,Iceland,0.35,0.44,15.243294268136836
77,India,0.81,0.85,13.38188838806618
78,Indonesia,1.11,1.26,22.196193772532137
79,Iran,2.26,2.57,112.99498621799333
80,Iraq,6.52,7.85,249.8724439408616
81,Ireland,7.8,7.93,227.911540095273
82,Israel,0.88,1.01,27.35013420557067
83,Italy,1.38,1.45,148.02179733858657
84,Jamaica,2.34,2.84,132.02457197057586
85,Japan,1.64,1.65,276.04023314898336
86,Jordan,2.03,2.31,69.51469907967414
87,Kazakhstan,0.94,1.09,32.02702529940704
88,Kenya,0.97,1.2,17.842804899465488
89,Kiribati,0.6,0.71,27.127516370553323
90,Republic of Korea,1.57,1.68,75.86842586574649
91,Kosovo,1.19,1.49,33.209995524315545
92,Kuwait,2.84,3.71,119.84948040554724
93,Kyrgyz Republic,4.08,4.21,105.8157388156247
94,Lao P.D.R.,3.19,3.38,75.68384297008963
95,Latvia,2.27,2.4,112.28168520917545
96,Lebanon,2.36,3.24,26.723384825756224
97,Lesotho,1.47,1.63,76.18960532159299
98,Liberia,2.44,2.54,44.847581887012694
99,Libya,6.31,8.95,78.26387845902781
100,Lithuania,1.36,2.05,277.1262278377568
101,Luxembourg,0.66,0.79,38.20410476310395
102,Macao SAR,17.21,26.01,122.35671566968458
103,Madagascar,0.63,0.78,13.515294718799645
104,Malawi,1.89,2.56,61.13961244512761
105,Malaysia,0.64,0.89,14.8261397753404
106,Maldives,10.63,14.4,186.65942897193582
107,Mali,2.53,2.86,49.94108226812799
108,Malta,1.35,1.59,38.461901537751245
109,Marshall Islands,1.32,1.54,68.11387840881056
110,Mauritania,1.87,1.95,38.31090912729941
111,Mauritius,1.6,1.96,42.44264444988946
112,Mexico,0.82,1.16,45.787988368365234
113,Fed. States of Micronesia,2.75,2.9,232.73503439548148
114,Moldova,6.0,6.7,128.5430236596856
115,Mongolia,1.98,2.3,36.74373343365095
116,Montenegro,0.78,0.88,25.780187257621318
117,Morocco,1.1,1.26,34.10825913837892
118,Mozambique,9.14,10.79,96.60181479379042
119,Myanmar,5.3,5.39,191.47549460391667
120,Namibia,1.0,1.34,38.54832979941173
121,Nauru,5.84,7.7,303.6717671400478
122,Nepal,0.84,0.96,16.671032119001502
123,Netherlands,0.35,0.42,27.65682170494752
124,New Zealand,1.15,1.33,93.8225439639317
125,Nicaragua,0.82,1.11,25.1052311773934
126,Niger,2.14,3.2,24.894900019244734
127,Nigeria,1.86,2.1,61.01693965605769
128,North Macedonia,1.03,1.36,43.627817760876766
129,Norway,0.61,0.69,32.68741712722719
130,Oman,1.11,1.26,40.13639299862301
131,Pakistan,1.56,1.78,119.33083126809947
132,Palau,7.7,8.11,149.5583159153456
133,Panama,1.76,2.24,43.25082334707137
134,Papua New Guinea,1.28,1.51,38.424421173777596
135,Paraguay,1.18,1.36,31.08115728511846
136,Peru,1.95,2.16,68.62792240956713
137,Philippines,0.54,0.61,8.82541297449475
138,Poland,3.5,3.71,409.27371601513823
139,Portugal,1.87,2.07,104.41014561406135
140,Puerto Rico,1.97,2.07,293.0997693627409
141,Qatar,1.95,2.15,73.82388578014401
142,Romania,1.55,1.7,48.78272705268754
143,Russian Federation,0.8,0.87,95.19978121786895
144,Rwanda,3.31,3.8,49.17264615396122
145,Saint Kitts and Nevis,2.89,3.21,87.90524046393253
146,Saint Lucia,2.91,3.21,150.53247221050142
147,Saint Vincent and the Grenadines,3.17,3.4,81.20335782561833
148,Samoa,8.01,8.09,249.66672958881367
149,San Marino,1.22,1.36,99.66043846579332
150,Saudi Arabia,2.56,2.98,84.32628358248189
151,Senegal,2.11,2.93,26.151053332900325
152,Serbia,1.49,1.75,40.62276151254349
153,Seychelles,0.77,1.16,20.30473233321559
154,Sierra Leone,5.22,5.65,123.31378807527229
155,Singapore,0.69,0.94,37.75539646903247
156,Slovak Republic,1.04,1.31,54.90963416903831
157,Slovenia,0.65,0.81,29.30622460355886
158,Solomon Islands,5.33,5.56,189.09063426584123
159,Somalia,1.1,1.17,28.875647358285494
160,South Africa,1.14,1.44,176.21036788309118
161,Republic of South Sudan,7.68,8.22,167.09390237195717
162,Spain,1.07,1.44,59.070659987714116
163,Sri Lanka,3.66,3.8,135.9945316598922
164,Sudan,4.95,5.18,189.21111980302746
165,Suriname,9.05,9.19,315.1168081361166
