,Country,MAE,RMSE,MAPE
0,Afghanistan,0.55,0.59,10.603333670179602
1,Albania,1.14,1.14,33.59900773702405
2,Algeria,0.56,0.65,30.139492078946052
3,Andorra,0.54,0.54,35.846273351605426
4,Angola,0.47,0.53,11.307988570423877
5,Antigua and Barbuda,3.21,3.35,91.78077740527151
6,Argentina,0.36,0.36,18.108764639836565
7,Armenia,3.44,3.47,75.18349718548649
8,Aruba,0.47,0.48,41.43844338392534
9,Australia,0.37,0.45,19.148231401744063
10,Austria,0.41,0.43,25.298247947064255
11,Azerbaijan,7.15,7.17,279.37696673825127
12,The Bahamas,1.09,1.09,68.0729705631594
13,Bahrain,0.44,0.48,15.324865604349187
14,Bangladesh,0.24,0.27,3.5046018482368124
15,Barbados,2.21,2.31,84.08423606329907
16,Belarus,1.73,1.75,227.00643967091665
17,Belgium,0.18,0.2,15.616328626157689
18,Belize,0.17,0.21,8.423284467256401
19,Benin,0.14,0.16,2.285215236011856
20,Bhutan,1.2,1.67,21.390448044799548
21,Bolivia,2.64,2.64,122.77411327167349
22,Bosnia and Herzegovina,1.9,1.93,63.176189460606544
23,Botswana,3.21,3.22,79.21381720307609
24,Brazil,0.4,0.44,20.613552176837864
25,Brunei Darussalam,2.78,2.81,90.85776691750853
26,Bulgaria,0.31,0.47,9.578290190622491
27,Burkina Faso,0.67,0.77,12.629186385285557
28,Burundi,3.65,3.65,62.89391730053397
29,Cabo Verde,1.35,1.39,27.065277940691228
30,Cambodia,0.11,0.13,1.767116477272506
31,Cameroon,1.44,1.44,31.303774512343974
32,Canada,0.19,0.25,10.275156115664792
33,Central African Republic,3.28,3.28,89.18695161720633
34,Chad,0.22,0.27,6.240366970278392
35,Chile,0.62,0.68,29.23171133402477
36,China,2.75,2.76,71.45302316144662
37,Colombia,0.54,0.76,23.87619216326529
38,Comoros,1.97,1.99,47.82134492982076
39,Dem. Rep. of the Congo,0.4,0.55,6.0955592892855215
40,Republic of Congo,4.8,4.82,119.0600175168297
41,Costa Rica,1.05,1.05,32.68889854313511
42,Croatia,0.23,0.28,8.950131206542908
43,Cyprus,1.51,1.52,51.310372840830745
44,Czech Republic,0.63,0.76,21.647172803960128
45,Côte d'Ivoire,0.36,0.41,5.734525285138945
46,Denmark,0.17,0.21,13.830415497434847
47,Djibouti,0.54,0.59,10.256446476351977
48,Dominica,4.33,4.39,129.51398840176896
49,Dominican Republic,0.47,0.47,9.389387083889195
50,Ecuador,0.57,0.58,20.53362845724255
51,Egypt,1.54,1.59,27.012748611723925
52,El Salvador,1.39,1.39,68.11407464916945
53,Equatorial Guinea,7.86,8.9,437.6943740900114
54,Eritrea,1.02,1.02,35.0327814446192
55,Estonia,0.11,0.18,3.264854781592557
56,Eswatini,0.42,0.42,16.749104895127495
57,Ethiopia,4.48,4.48,67.01786338044555
58,Fiji,2.29,2.36,53.401072381324255
59,Finland,0.7,0.7,54.44006217523376
60,France,0.76,0.79,46.17085003046336
61,Gabon,0.6,0.62,17.91866516606987
62,The Gambia,1.91,1.99,34.54416461568756
63,Georgia,5.2,5.24,100.69890097979604
64,Germany,0.62,0.72,39.35471233958242
65,Ghana,2.21,2.33,55.22412525632377
66,Greece,0.99,0.99,72.77171902206206
67,Grenada,2.41,2.43,72.88789752885691
68,Guatemala,0.84,0.84,22.792588883002036
69,Guinea,0.43,0.56,8.265312214018143
70,Guinea-Bissau,0.59,0.64,11.772312178213635
71,Guyana,18.72,19.19,317.526057239657
72,Haiti,0.34,0.36,23.308175915929418
73,Honduras,0.34,0.36,9.039823438193695
74,Hong Kong SAR,2.64,2.64,93.31547675768921
75,Hungary,0.19,0.19,5.59525247488783
76,Iceland,0.44,0.45,19.778260794194637
77,India,0.54,0.56,8.951143990323253
78,Indonesia,1.26,1.26,25.060975618044846
79,Iran,1.46,1.46,72.84227381218089
